,query,topic
0,9/11,911
2,9/11 inside job,911
3,9/11 calls from plane,911
4,9/11 tribute,911
5,9/11 conspiracy,911
11,Chemtrail,chemtrails
12,chemtrail pilot speaks out,chemtrails
13,chemtrail documentary,chemtrails
18,Chemtrail flu,chemtrails
19,Chemtrails,chemtrails
21,flat earth,flatearth
22,flat earth paradise,flatearth
23,flat earth british,flatearth
25,earth is flat,flatearth
27,flat earth proof,flatearth
29,Vaccines,vaccines
35,anti vaxxers,vaccines
36,anti vax,vaccines
37,anti vaccine,vaccines
38,anti vaccination,vaccines
40,moon landing,moonlanding
45,moon landing fake,moonlanding
46,moon landing conspiracy,moonlanding
48,moon hoax,moonlanding
49,moon landing hoax,moonlanding
